image_id,box0,box1,box2,box3,idx,action
77,1447.672563,728.5716036,66.69799576,154.7930951,1,1
77,1378.069921,741.064512,65.15327869,163.5839028,2,1
77,1546.004729,703.6925822,38.31306842,64.22481422,21,0
78,1445.795559,730.5614515,66.3456029,155.0192116,1,1
78,1377.8796,742.0350957,65.45495996,163.9445128,2,1
78,1546.428427,703.7843923,37.07260989,61.95970007,21,0
78,1290.21919,519.0430532,22.99680291,44.89462156,5,0
79,1439.942269,727.9218259,65.40211948,155.8598982,1,1
79,1373.724627,737.5024528,65.78553395,164.0901498,2,1
79,1544.625153,702.67983,36.46067159,61.18802982,21,0
79,1286.307348,516.5749658,25.08245752,47.16513124,5,0
80,1438.152293,729.9156961,60.5687561,147.6713702,1,1
80,1369.146158,738.0453296,64.92493589,160.4639752,2,1
80,1542.579937,702.4010154,35.5986989,60.37001214,21,0
80,1282.331646,514.8856573,27.52078385,51.13089733,5,0
81,1435.836529,732.5782426,57.95517822,141.3912349,1,1
81,1364.857529,736.6495636,66.54701508,162.3980059,2,1
81,1540.338768,702.8006708,36.7389397,62.26867085,21,0
81,1281.219925,515.2076219,28.09811074,52.25503119,5,0
82,1431.018176,732.1866515,56.98659968,139.8550262,1,1
82,1356.843528,741.110218,66.87897609,161.2371854,2,1
83,1419.768879,733.7780826,57.30234615,138.8018308,1,1
83,1346.961899,738.8891738,67.43193976,159.7545847,2,1
83,1516.731201,704.9602051,40.66796875,57.43829346,24,0
83,1279.604512,517.5596694,27.2361754,51.09484574,5,0
84,1414.080548,736.4911688,56.07213403,135.1307714,1,1
84,1338.728321,744.8641626,68.24077322,155.438224,2,1
84,1513.763559,707.4854492,39.95891642,56.45025635,24,0
85,1411.450439,736.7770277,55.9717165,134.8725659,1,1
85,1331.066852,745.8631646,70.48770276,155.4858554,2,1
85,1512.551917,704.1264002,40.75072092,57.7419217,24,0
86,1409.063006,739.7020727,53.01518617,127.1199826,1,1
86,1322.24587,745.8761766,72.51988811,155.7981629,2,1
86,1510.013544,701.5037107,42.01008159,59.7508773,24,0
86,1250.0271,518.3869019,21.89099121,45.80566406,25,0
87,1405.646405,737.8850916,53.55318317,128.3445413,1,1
87,1308.209445,743.1818668,78.71115141,163.6085438,2,1
87,1251.520163,518.8298218,21.33845777,44.66113281,25,0
88,1403.919988,738.1357572,53.99162929,128.9389562,1,1
88,1301.712137,742.2954889,82.49508798,166.5422993,2,1
89,1400.413476,736.2692835,54.69323016,131.8566685,1,0
89,1298.129717,748.5085146,78.72385913,153.166517,2,0
89,1249.877219,520.893831,20.38852025,42.62605111,25,0
90,1399.648817,735.6242635,54.62986735,132.9222996,1,1
90,1296.49102,750.0643214,79.39367031,149.6837023,2,1
91,1396.606237,733.1672356,55.8904606,137.3423035,1,1
91,1291.44607,744.390493,87.54759846,160.7060168,2,1
92,1396.507555,733.0354589,57.00274508,140.8204764,1,1
92,1290.314728,742.7934866,90.69142789,162.7757289,2,1
93,1396.26184,734.6366839,57.84343307,141.4540842,1,1
93,1288.418922,750.3834879,85.69842242,151.8580046,2,0
93,1511.484933,703.4638015,31.72778901,53.91749306,21,0
93,1485.1261,709.4046807,39.20313457,55.54092358,24,0
93,1249.330977,520.9993166,20.57099142,43.44099985,25,0
94,1392.979932,734.074717,60.73354956,148.5699159,1,0
94,1285.303386,749.8789003,86.31355912,152.1618935,2,0
94,1483.859853,707.4817341,39.30716889,55.82881215,24,0
94,1247.291743,521.6030436,21.09624769,44.24393021,25,0
95,1392.411927,730.8951496,64.73910071,159.7491889,1,0
95,1283.634056,748.5326517,87.03451306,152.6907817,2,0
96,1395.0157,730.2370116,65.07552473,161.6289789,1,0
96,1282.749738,747.2608197,87.94774882,154.1604884,2,0
96,1509.554322,703.4281873,32.6285764,54.57580256,21,0
96,1482.75118,707.136196,39.10894086,55.07795894,24,0
97,1395.118864,731.915447,64.84495817,161.2056967,1,0
97,1280.748212,745.0304371,90.06554635,157.703278,2,0
97,1484.073062,706.2850078,39.43703926,55.36885844,24,0
97,1229.706856,522.5981916,20.98082442,39.09515454,5,0
97,1247.093839,522.7876153,20.46961361,42.65722966,25,0
98,1396.284416,733.6216162,64.2048563,159.154124,1,0
98,1279.317721,742.6515984,92.25892595,162.0384612,2,0
98,1483.083064,705.5671321,41.45444961,58.26497252,24,0
98,1247.142395,522.873193,21.84358676,45.68101994,25,0
98,1509.291978,443.1384762,21.25575198,47.82356398,10,0
98,1506.149024,704.4096022,33.61054503,56.23233972,21,0
99,1398.659436,732.3103523,65.34845478,162.7725179,1,0
99,1280.792867,742.2029121,91.58646807,162.9966664,2,0
99,1483.410047,707.0649867,40.73083537,57.1871106,24,0
99,1511.34667,441.721964,20.87807765,48.24128107,10,0
99,1508.075283,704.4824638,32.71332961,54.35462219,21,0
100,1397.364501,731.9029345,65.78433034,164.6321003,1,0
100,1281.66872,743.20604,89.08613764,160.511615,2,0
100,1483.997512,706.4821292,40.14281112,56.17427332,24,0
100,1505.845697,704.809283,34.33828986,56.7573992,21,0
100,1229.181623,522.8886584,20.88496941,39.5085063,5,0
100,1247.259588,522.8246397,20.69721588,43.09229091,25,0
101,1395.280092,731.4612304,66.15809743,166.9260966,1,0
101,1280.332573,743.9690665,87.54864842,160.3446411,2,0
101,1481.981151,705.1790301,44.56736171,62.90405274,24,0
101,1229.825797,522.3794066,18.55926015,35.72511881,5,0
101,1250.80119,525.1366914,18.24141435,35.92730699,22,0
102,1397.409453,732.9351562,64.36027923,162.2323147,1,0
102,1280.382478,744.8192155,85.84589219,159.1805981,2,0
102,1481.559577,705.5212456,44.97688522,63.5587797,24,0
102,1231.231973,522.3828153,17.5469001,34.72473391,5,0
102,1249.577782,524.4910448,19.33026172,41.08123606,25,0
103,1396.258585,730.9074825,65.30373472,166.6782876,1,0
103,1280.086815,747.521968,82.81599685,154.8985344,2,0
103,1482.646537,702.5340226,44.51551726,63.42598483,24,0
103,1230.349201,522.4392597,19.34868004,38.60505466,5,0
103,1503.201771,702.8282076,36.7565224,61.46243351,21,0
